CENSUS_STATE_ABBR,CENSUS_COUNTY_NAME,CENSUS_CBSA_NAME
NC,Washington County,""
MO,Carroll County,""
ID,Camas County,"Hailey, ID"
TX,Dawson County,"Lamesa, TX"
TX,Donley County,""
KY,Jackson County,""
GA,Warren County,""
MT,Pondera County,""
AR,Newton County,"Harrison, AR"
NE,Chase County,""
IA,Buchanan County,""
NE,Saline County,""
"","","Urban Honolulu, HI"
ND,Grant County,""
KS,Rush County,""
WI,Green County,"Madison, WI"
NE,Cherry County,""
WV,Ritchie County,""
NC,Mitchell County,""
WA,Pend Oreille County,""
MS,Greene County,""
IL,Calhoun County,"St. Louis, MO-IL"
IA,Louisa County,""
SD,Day County,""
MO,Shelby County,""
SD,Jackson County,""
ND,Ransom County,""
AL,Perry County,""
NE,Boone County,""
AR,Perry County,"Little Rock-North Little Rock-Conway, AR"
NE,Kimball County,""
IL,Hancock County,"Fort Madison-Keokuk, IA-IL-MO"
TX,Motley County,""
IA,Monona County,""
IA,Winnebago County,""
KS,Sheridan County,""
KS,Woodson County,""
GA,Calhoun County,""
SD,Gregory County,""
TX,Oldham County,"Amarillo, TX"
"","","Santa Cruz-Watsonville, CA"
MO,Henry County,""
MT,Broadwater County,""
KY,Wayne County,""
MS,Kemper County,"Meridian, MS"
VA,Rappahannock County,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
TX,Stonewall County,""
MT,Garfield County,""
NM,Roosevelt County,"Portales, NM"
"","","Key West, FL"
MS,Webster County,"Starkville, MS"
NM,Quay County,""
MO,New Madrid County,""
MT,Madison County,""
IL,Richland County,""
SD,Harding County,""
MO,Hickory County,""
TX,Schleicher County,""
MO,Mississippi County,""
GA,Jenkins County,""
NE,Dixon County,"Sioux City, IA-NE-SD"
KS,Doniphan County,"St. Joseph, MO-KS"
AL,Crenshaw County,""
TX,Irion County,"San Angelo, TX"
MO,Iron County,""
ND,Bowman County,""
KS,Cherokee County,""
NE,Harlan County,""
MT,Fallon County,""
IA,Adair County,""
PA,Cameron County,""
SD,Haakon County,""
TN,Smith County,"Nashville-Davidson--Murfreesboro--Franklin, TN"
KY,Garrard County,""
SD,Marshall County,""
ID,Adams County,""
NE,Brown County,""
VA,Lunenburg County,""
SD,Ziebach County,""
UT,Piute County,""
IA,Worth County,"Mason City, IA"
ID,Shoshone County,""
KY,Wolfe County,""
NE,Garden County,""
IN,Martin County,""
SD,Sanborn County,""
VA,Emporia city,""
SD,Moody County,""
NE,Arthur County,""
NE,Valley County,""
MS,Choctaw County,""
MT,Daniels County,""
OK,Ottawa County,""
SD,Dewey County,""
KY,Elliott County,""
OK,Pawnee County,"Tulsa, OK"
TX,Sherman County,""
ND,Traill County,""
IA,Audubon County,""
OK,Marshall County,""
AR,Randolph County,""
GA,Tattnall County,""
TX,Culberson County,""
KY,Estill County,"Richmond-Berea, KY"
NE,Thomas County,""
TX,Crane County,""
MO,Atchison County,""
MT,McCone County,""
TX,Bailey County,""
NE,Nemaha County,""
IA,Pocahontas County,""
SD,Hanson County,"Mitchell, SD"
KS,Greeley County,""
WV,Summers County,""
MO,Sullivan County,""
PR,San Sebastián Municipio,"Aguadilla-Isabela, PR"
TN,Hancock County,""
SD,Todd County,""
NE,Wayne County,""
IA,Osceola County,""
IA,Decatur County,""
TN,Benton County,""
NE,Cedar County,""
"","","Washington, NC"
"","","Bremerton-Silverdale-Port Orchard, WA"
KS,Jewell County,""
WA,Garfield County,""
ND,Burke County,""
MN,Grant County,""
ID,Oneida County,""
NE,Thayer County,""
ID,Bear Lake County,""
LA,LaSalle Parish,""
NE,Howard County,"Grand Island, NE"
TX,Hall County,""
NE,Franklin County,""
MS,Lawrence County,""
GA,Bacon County,""
TX,Hemphill County,""
TX,King County,""
KS,Wichita County,""
ND,Billings County,"Dickinson, ND"
UT,Beaver County,""
AK,Haines Borough,""
IA,Tama County,""
TX,Dickens County,""
IL,Stark County,"Peoria, IL"
GA,Pulaski County,""
TX,Brooks County,""
WY,Goshen County,""
KS,Kearny County,"Garden City, KS"
CO,Baca County,""
SD,Potter County,""
MO,Daviess County,"Kansas City, MO-KS"
MP,Saipan Municipality,""
KY,Fulton County,""
NV,Lander County,""
KS,Morton County,""
MT,Sweet Grass County,""
AS,Western District,""
TX,Crosby County,"Lubbock, TX"
CO,Sedgwick County,""
SD,Campbell County,""
AK,Dillingham Census Area,""
KY,Hickman County,""
NE,Gosper County,"Lexington, NE"
OK,Ellis County,"Woodward, OK"
NE,Logan County,"North Platte, NE"
IL,Scott County,"Jacksonville, IL"
GA,Johnson County,"Dublin, GA"
TN,Clay County,""
TX,Throckmorton County,""
NE,Morrill County,""
PR,Arecibo Municipio,"Arecibo, PR"
NE,Hitchcock County,""
TN,Grainger County,"Morristown, TN"
KS,Kiowa County,""
GA,Echols County,"Valdosta, GA"
WV,Calhoun County,""
TX,Dallam County,""
NM,Guadalupe County,""
NC,Jones County,"New Bern, NC"
ND,Golden Valley County,""
NE,Johnson County,""
TX,Carson County,"Amarillo, TX"
CO,Mineral County,""
TX,Dimmit County,""
TX,Kenedy County,"Kingsville, TX"
KS,Hodgeman County,""
ND,Sargent County,""
GA,Long County,"Hinesville, GA"
TN,Sequatchie County,"Chattanooga, TN-GA"
KS,Barber County,""
KS,Edwards County,""
MT,Judith Basin County,""
AR,Lincoln County,"Pine Bluff, AR"
NJ,Mercer County,"New York-Newark-Jersey City, NY-NJ-PA"
GA,Webster County,""
AR,Nevada County,"Hope, AR"
WY,Platte County,""
PR,San Germán Municipio,"San Germán, PR"
"","","Watertown-Fort Drum, NY"
"","","Rochester, NY"
NY,Chenango County,"Syracuse, NY"
PR,Bayamón Municipio,"San Juan-Bayamón-Caguas, PR"
TN,Jackson County,"Cookeville, TN"
"","","New Haven-Milford, CT"
PR,Guayama Municipio,"Guayama, PR"
PR,Toa Alta Municipio,"San Juan-Bayamón-Caguas, PR"
GA,Miller County,""
UT,Rich County,""
"","","Erie, PA"
NE,Greeley County,""
ND,McHenry County,"Minot, ND"
ND,Pierce County,""
MN,Red Lake County,""
NC,Tyrrell County,""
OK,Grant County,""
AR,Prairie County,""
CO,Washington County,""
KS,Wallace County,""
TX,Menard County,""
TX,Hartley County,""
PR,Toa Baja Municipio,"San Juan-Bayamón-Caguas, PR"
PR,Naguabo Municipio,"San Juan-Bayamón-Caguas, PR"
WY,Niobrara County,""
PR,Guaynabo Municipio,"San Juan-Bayamón-Caguas, PR"
CO,Crowley County,""
GA,Wilkes County,""
PR,Caguas Municipio,"San Juan-Bayamón-Caguas, PR"
PR,Santa Isabel Municipio,"Santa Isabel, PR"
CO,Cheyenne County,""
PR,Aguas Buenas Municipio,"San Juan-Bayamón-Caguas, PR"
PR,Las Marías Municipio,"Mayagüez, PR"
NE,Wheeler County,""
NE,McPherson County,"North Platte, NE"
NE,Banner County,"Scottsbluff, NE"
NE,Rock County,""
NE,Grant County,""
ND,Griggs County,""
ND,Oliver County,"Bismarck, ND"
TX,Jim Hogg County,""
PR,Utuado Municipio,"Aguadilla-Isabela, PR"
PR,Ponce Municipio,"Ponce, PR"
ND,Adams County,""
CO,Kiowa County,""
ND,Sioux County,""
WA,Lincoln County,"Othello, WA"
KY,Lewis County,""
PR,Cidra Municipio,"San Juan-Bayamón-Caguas, PR"
PR,Luquillo Municipio,"San Juan-Bayamón-Caguas, PR"
KS,Decatur County,""
"","","Elizabeth City, NC"
NE,Sherman County,""
NE,Nance County,""
NE,Keya Paha County,""
PR,Las Piedras Municipio,"San Juan-Bayamón-Caguas, PR"
PR,Hormigueros Municipio,"Mayagüez, PR"
KS,Graham County,""
KS,Wabaunsee County,"Topeka, KS"
"","","Oak Harbor, WA"
MI,Kent County,"Muskegon, MI"
MI,Keweenaw County,"Houghton, MI"
"","","Toledo, OH"
KS,Logan County,""
KS,Clark County,""
KY,Robertson County,""
GA,Taliaferro County,""
MT,Golden Valley County,""
SD,Jones County,""
SD,Buffalo County,""
SD,Sully County,""
PR,Peñuelas Municipio,"Yauco, PR"
MT,Wibaux County,""
OK,Cimarron County,""
PR,Yauco Municipio,"Yauco, PR"
PR,Canóvanas Municipio,"San Juan-Bayamón-Caguas, PR"
MT,Carter County,""
TX,Hansford County,""
OH,Darke County,"Dayton-Kettering, OH"
TX,Crockett County,""
NE,Loup County,""
TX,Coke County,""
PR,Arroyo Municipio,"Guayama, PR"
PR,Barceloneta Municipio,"San Juan-Bayamón-Caguas, PR"
PR,Corozal Municipio,"San Juan-Bayamón-Caguas, PR"
ID,Butte County,"Idaho Falls, ID"
SD,Edmunds County,"Aberdeen, SD"
SC,Allendale County,""
AK,Aleutians West Census Area,""
OH,Ashtabula County,"Erie, PA"
PR,Florida Municipio,"San Juan-Bayamón-Caguas, PR"
PR,Isabela Municipio,"Aguadilla-Isabela, PR"
PR,Loíza Municipio,"San Juan-Bayamón-Caguas, PR"
PR,Fajardo Municipio,"San Juan-Bayamón-Caguas, PR"
AK,Yakutat City and Borough,""
NV,Eureka County,"Elko, NV"
TX,Cochran County,""
PR,Ciales Municipio,"San Juan-Bayamón-Caguas, PR"
TX,Stephens County,""
PR,Río Grande Municipio,"San Juan-Bayamón-Caguas, PR"
TX,Reagan County,""
PR,Maunabo Municipio,"San Juan-Bayamón-Caguas, PR"
ID,Franklin County,"Logan, UT-ID"
PR,Sabana Grande Municipio,"San Germán, PR"
PR,Juana Díaz Municipio,"Ponce, PR"
PR,Lares Municipio,"Aguadilla-Isabela, PR"
PR,Jayuya Municipio,"Jayuya, PR"
PR,Maricao Municipio,""
PR,Gurabo Municipio,"San Juan-Bayamón-Caguas, PR"
PR,Humacao Municipio,"San Juan-Bayamón-Caguas, PR"
PR,Lajas Municipio,"San Germán, PR"
PR,Yabucoa Municipio,"San Juan-Bayamón-Caguas, PR"
PR,Moca Municipio,"Aguadilla-Isabela, PR"
PR,Patillas Municipio,"Guayama, PR"
PR,Vega Baja Municipio,"San Juan-Bayamón-Caguas, PR"
PR,Vieques Municipio,""
PR,Vega Alta Municipio,"San Juan-Bayamón-Caguas, PR"
PR,Adjuntas Municipio,"Ponce, PR"
PR,Aguada Municipio,"Aguadilla-Isabela, PR"
PR,Aibonito Municipio,"San Juan-Bayamón-Caguas, PR"
PR,Comerío Municipio,"San Juan-Bayamón-Caguas, PR"
PR,Cataño Municipio,"San Juan-Bayamón-Caguas, PR"
PR,Coamo Municipio,"Coamo, PR"
PR,Añasco Municipio,"Aguadilla-Isabela, PR"
PR,Barranquitas Municipio,"San Juan-Bayamón-Caguas, PR"
PR,Cabo Rojo Municipio,"San Germán, PR"
NE,Blaine County,""
PR,Quebradillas Municipio,"Arecibo, PR"
PR,Cayey Municipio,"San Juan-Bayamón-Caguas, PR"
TX,Roberts County,"Pampa, TX"
TX,Cottle County,""
NE,Deuel County,""
WI,Chippewa County,"Menomonie, WI"
TX,Terrell County,""
OK,Roger Mills County,""
NV,Esmeralda County,""
KS,Stanton County,""
ID,Power County,"Pocatello, ID"
OH,Fulton County,""
TX,Kent County,""
TX,Glasscock County,""
UT,Daggett County,""
PR,Ceiba Municipio,"San Juan-Bayamón-Caguas, PR"
PR,San Lorenzo Municipio,"San Juan-Bayamón-Caguas, PR"
PR,Naranjito Municipio,"San Juan-Bayamón-Caguas, PR"
PR,Salinas Municipio,"Coco, PR"
PR,Guayanilla Municipio,"Yauco, PR"
PR,Morovis Municipio,"San Juan-Bayamón-Caguas, PR"
PR,Rincón Municipio,"Aguadilla-Isabela, PR"
PR,Villalba Municipio,"Ponce, PR"
MA,Hampden County,"Hartford-East Hartford-Middletown, CT"
"","","Virginia Beach-Norfolk-Newport News, VA-NC"
PA,Clarion County,"Oil City, PA"
PA,Greene County,"Pittsburgh, PA"
PA,Cambria County,"Indiana, PA"
PA,Adams County,"York-Hanover, PA"
AK,Kusilvak Census Area,""
"","","Tampa-St. Petersburg-Clearwater, FL"
"","","Norwich-New London, CT"
KS,Ottawa County,""
MD,Dorchester County,"Salisbury, MD-DE"
CA,Fresno County,"Visalia, CA"
OH,Miami County,"Sidney, OH"
"","","San Diego-Chula Vista-Carlsbad, CA"
TN,Putnam County,""
"","","Los Angeles-Long Beach-Anaheim, CA"
PA,Bradford County,""
LA,Acadia Parish,"Opelousas, LA"
CO,Weld County,"Fort Collins, CO"
"","","Chicago-Naperville-Elgin, IL-IN-WI"
AK,Lake and Peninsula Borough,""
"","","Detroit-Warren-Dearborn, MI"
OH,Holmes County,"Wooster, OH"
IN,Jennings County,"Seymour, IN"
OH,Morrow County,"Mount Vernon, OH"
OH,Wayne County,"Ashland, OH"
OH,Hancock County,"Tiffin, OH"
"","","Sandusky, OH"
OH,Huron County,"Fremont, OH"
IN,Howard County,"Lafayette-West Lafayette, IN"
IN,Fayette County,""
IN,Clinton County,"Indianapolis-Carmel-Anderson, IN"
IN,Wabash County,"Huntington, IN"
IN,Delaware County,""
IN,Daviess County,""
IN,Noble County,""
IN,Jasper County,""
IN,Franklin County,""
IN,Franklin County,"Greensburg, IN"
"","","Cleveland-Elyria, OH"
IL,Whiteside County,""
IL,Whiteside County,"Dixon, IL"
WI,Walworth County,"Chicago-Naperville-Elgin, IL-IN-WI"
MI,Kalamazoo County,""
MI,Alcona County,"Alpena, MI"
MI,Washtenaw County,"Detroit-Warren-Dearborn, MI"
MI,Calhoun County,""
WI,Marathon County,""
WI,Waushara County,"Oshkosh-Neenah, WI"
"","","Milwaukee-Waukesha, WI"
WI,Pierce County,""
WI,Jefferson County,"Madison, WI"
WI,Barron County,"Menomonie, WI"
WI,Jefferson County,"Beaver Dam, WI"
WI,Manitowoc County,"Green Bay, WI"
MN,Blue Earth County,""
ND,Slope County,""
MN,Freeborn County,"Austin, MN"
IA,Calhoun County,"Fort Dodge, IA"
IA,Dickinson County,""
IA,Adair County,"Des Moines-West Des Moines, IA"
IA,Delaware County,"Dubuque, IA"
MO,Johnson County,"Kansas City, MO-KS"
MO,Camden County,"Lebanon, MO"
"","","Astoria, OR"
OH,Columbiana County,"New Castle, PA"
OK,Delaware County,"Miami, OK"
SD,Brown County,""
IA,Louisa County,"Iowa City, IA"
"","","Hilo, HI"
MN,Itasca County,""
IN,Vanderburgh County,""
"","","Gulfport-Biloxi, MS"
"","","Ocean City, NJ"
CA,Tulare County,"Hanford-Corcoran, CA"
"","","Daphne-Fairhope-Foley, AL"
WI,Manitowoc County,"Appleton, WI"
WI,Dunn County,"Eau Claire, WI"
WI,Waupaca County,"Appleton, WI"
KS,Anderson County,"Ottawa, KS"
MI,Tuscola County,"Detroit-Warren-Dearborn, MI"
IA,Cerro Gordo County,""
OH,Huron County,"Mansfield, OH"
CO,Custer County,"Cañon City, CO"
MD,Dorchester County,""
"","","California-Lexington Park, MD"
MP,Rota Municipality,""
MD,Washington County,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
WV,Cabell County,"Charleston, WV"
NC,Perquimans County,""
NC,Robeson County,"Laurinburg, NC"
MA,Norfolk County,"Providence-Warwick, RI-MA"
GA,Pickens County,""
NC,Moore County,"Fayetteville, NC"
"","","Brunswick, GA"
AK,Aleutians East Borough,""
IN,Tipton County,"Indianapolis-Carmel-Anderson, IN"
TN,Giles County,"Huntsville, AL"
AL,Crenshaw County,"Troy, AL"
"","","Mobile, AL"
FL,Highlands County,"Lakeland-Winter Haven, FL"
PR,Culebra Municipio,""
PR,Aibonito Municipio,"Coco, PR"
MP,Tinian Municipality,""
"","","San Juan-Bayamón-Caguas, PR"
"","","Hartford-East Hartford-Middletown, CT"
"","","Arecibo, PR"
AS,Manu'a District,""
AR,Lawrence County,"Batesville, AR"
AR,Lawrence County,"Jonesboro, AR"
LA,Natchitoches Parish,""
HI,Kalawao County,""
CO,Chaffee County,"Denver-Aurora-Lakewood, CO"
"","","Corpus Christi, TX"
TX,Loving County,"Pecos, TX"
CA,Monterey County,"San Jose-Sunnyvale-Santa Clara, CA"
CA,Santa Cruz County,"San Jose-Sunnyvale-Santa Clara, CA"
"","","Wilmington, NC"
OH,Preble County,"Dayton-Kettering, OH"
IN,Kosciusko County,"Wabash, IN"
MI,Tuscola County,"Flint, MI"
NY,Seneca County,"Rochester, NY"
WI,Portage County,"Wisconsin Rapids-Marshfield, WI"
FL,Jefferson County,"Thomasville, GA"
KS,Geary County,""
NY,Chautauqua County,"Erie, PA"
CO,Weld County,"Boulder, CO"
MI,Montcalm County,"Alma, MI"
WI,Sheboygan County,"Fond du Lac, WI"
WA,Spokane County,"Coeur d'Alene, ID"
MI,Bay County,"Saginaw, MI"
"","","Salisbury, MD-DE"
CA,Santa Clara County,"San Francisco-Oakland-Berkeley, CA"
AL,Marshall County,"Cullman, AL"
OH,Ashland County,"Cleveland-Elyria, OH"
NE,Gage County,""
IA,Buena Vista County,"Spencer, IA"
KY,Anderson County,""
NC,Cleveland County,"Charlotte-Concord-Gastonia, NC-SC"
VA,Henry County,""
GA,Pike County,"Thomaston, GA"
OH,Montgomery County,""
WV,Berkeley County,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
OK,Lincoln County,"Shawnee, OK"
TN,Sullivan County,"Johnson City, TN"
"","","Santa Maria-Santa Barbara, CA"
"","","Port Angeles, WA"
"","","Seattle-Tacoma-Bellevue, WA"
"","","Olympia-Lacey-Tumwater, WA"
"","","Juneau, AK"
IN,Ripley County,"Cincinnati, OH-KY-IN"
OH,Hardin County,"Lima, OH"
OH,Hancock County,"Toledo, OH"
"","","Kapaa, HI"
MI,Shiawassee County,"Saginaw, MI"
